Rank,Title,Artist,Year,genius_url
80,Country Girl (Shake It For Me),Luke Bryan,2011,https://genius.com/Luke-bryan-country-girl-shake-it-for-me-lyrics
81,Remind Me,Brad Paisley Duet With Carrie Underwood,2011,https://genius.com/Country-genius-list-of-number-one-country-songs-2010-2019-lyrics
82,In The Dark,Dev,2011,https://genius.com/Dev-in-the-dark-lyrics
83,Backseat,New Boyz Featuring The Cataracs & Dev,2011,https://genius.com/New-boyz-backseat-lyrics
84,Headlines,Drake,2011,https://genius.com/Drake-headlines-lyrics
85,Best Thing I Never Had,Beyonce,2011,https://genius.com/Beyonce-best-thing-i-never-had-lyrics
86,Don't Wanna Go Home,Jason Derulo,2011,https://genius.com/Jason-derulo-dont-wanna-go-home-lyrics
87,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,2011,https://genius.com/David-guetta-flo-rida-and-nicki-minaj-where-them-girls-at-lyrics
88,She Ain't You,Chris Brown,2011,https://genius.com/Chris-brown-she-aint-you-lyrics
89,Take A Back Road,Rodney Atkins,2011,https://genius.com/Rodney-atkins-take-a-back-road-lyrics
90,Please Don't Go,Mike Posner,2011,https://genius.com/Mike-posner-please-dont-go-lyrics
91,Sure Thing,Miguel,2011,https://genius.com/Miguel-sure-thing-lyrics
92,Price Tag,Jessie J Featuring B.o.B,2011,https://genius.com/Genius-brasil-traducoes-jessie-j-price-tag-ft-bob-traducao-em-portugues-lyrics
93,God Gave Me You,Blake Shelton,2011,https://genius.com/Blake-shelton-god-gave-me-you-lyrics
94,She Will,Lil Wayne Featuring Drake,2011,https://genius.com/Hotshotmoney-she-will-remix-ft-rick-ross-lil-wayne-hotshotmoney-and-drake-lyrics
95,Are You Gonna Kiss Me Or Not,Thompson Square,2011,https://genius.com/Thompson-square-are-you-gonna-kiss-me-or-not-lyrics
96,Animal,Neon Trees,2011,https://genius.com/Neon-trees-animal-lyrics
97,You And Tequila,Kenny Chesney Featuring Grace Potter,2011,https://genius.com/Kenny-chesney-you-and-tequila-lyrics
98,Colder Weather,Zac Brown Band,2011,https://genius.com/Zac-brown-band-colder-weather-lyrics
99,My Last,Big Sean Featuring Chris Brown,2011,https://genius.com/Nvp-summer-playlist-2015-annotated
1,Somebody That I Used To Know,Gotye Featuring Kimbra,2012,https://genius.com/Genius-farsi-translations-somebody-that-i-used-to-know-by-gotyekimbra-lyrics
2,Call Me Maybe,Carly Rae Jepsen,2012,https://genius.com/Carly-rae-jepsen-call-me-maybe-lyrics
3,We Are Young,fun. Featuring Janelle Monae,2012,https://genius.com/Hitradio-o3-nummer-eins-hits-in-osterreich-2012-annotated
4,Payphone,Maroon 5 Featuring Wiz Khalifa,2012,https://genius.com/Nvp-summer-playlist-2015-annotated
5,Lights,Ellie Goulding,2012,https://genius.com/Ellie-goulding-lights-lyrics
6,Glad You Came,The Wanted,2012,https://genius.com/The-wanted-glad-you-came-lyrics
7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,https://genius.com/Kelly-clarkson-stronger-what-doesnt-kill-you-lyrics
8,We Found Love,Rihanna Featuring Calvin Harris,2012,https://genius.com/Eurovizijalt-eurovizijos-atranka-2013-2019-annotated
9,Starships,Nicki Minaj,2012,https://genius.com/Nicki-minaj-starships-lyrics
10,What Makes You Beautiful,One Direction,2012,https://genius.com/One-direction-what-makes-you-beautiful-lyrics
11,Wild Ones,Flo Rida Featuring Sia,2012,https://genius.com/Wild-flo-wild-ones-flo-rida-feat-sia-remake-lyrics
12,Set Fire To The Rain,Adele,2012,https://genius.com/Adele-set-fire-to-the-rain-lyrics
13,Sexy And I Know It,LMFAO,2012,https://genius.com/Lmfao-sexy-and-i-know-it-lyrics
14,Some Nights,fun.,2012,https://genius.com/Fun-some-nights-lyrics
15,Wide Awake,Katy Perry,2012,https://genius.com/Katy-perry-wide-awake-lyrics
16,Good Feeling,Flo Rida,2012,https://genius.com/Flo-rida-good-feeling-lyrics
17,Whistle,Flo Rida,2012,https://genius.com/Flo-rida-whistle-lyrics
18,One More Night,Maroon 5,2012,https://genius.com/Maroon-5-one-more-night-lyrics
19,Drive By,Train,2012,https://genius.com/Train-drive-by-lyrics
20,The Motto,Drake Featuring Lil Wayne,2012,https://genius.com/Billboard-hot-rap-songs-chart-25th-anniversary-top-100-songs-lyrics
21,Where Have You Been,Rihanna,2012,https://genius.com/Rihanna-where-have-you-been-lyrics
22,Everybody Talks,Neon Trees,2012,https://genius.com/Neon-trees-everybody-talks-lyrics
23,Take Care,Drake Featuring Rihanna,2012,https://genius.com/Genius-traductions-francaises-drake-take-care-ft-rihanna-traduction-francaise-lyrics
24,Titanium,David Guetta Featuring Sia,2012,https://genius.com/Ivisson-legendas-ayu-brazil-titanium-cover-david-guetta-feat-sia-legendado-lyrics
25,I Won't Give Up,Jason Mraz,2012,https://genius.com/Jason-mraz-i-wont-give-up-lyrics
26,It Will Rain,Bruno Mars,2012,https://genius.com/Bruno-mars-it-will-rain-lyrics
